name,routeId,Fare,distance,serviceDistricts,isCircular,start,startDistricts,end,endDistricts,detail,stopName,Column1,_1,_2,_3,_4,_5,_6,_7,_8,_9,_10,_11,_12,_13,_14,_15,_16,_17,_18,_19,_20,_21,_22,_23,_24,,,,,,,,,,,,,,,,,,,,,
54,CMPattern_CM_GMBBus_54_7724,8.8,18.82502359,Central > Western > Southern District Northwest > Western > Central,TRUE,中環（中環碼頭） Central (Central Ferry Piers),Central,中環（中環碼頭） Central (Central Ferry Piers),Central,中環碼頭 - 瑪麗醫院（循環綫） Central (Ferry Piers) - Queen Mary Hospital (Circular),(Central) 中環（中環碼頭） Central (Central Ferry Piers),"(Central) 干諾道中，近莊士大廈 Connaught Road Central, near Chuang's Tower",(Western) 高樂花園 Connaught Garden,(Western) 皇后大道西414號 No. 414 Queen's Road West,(Western) 創業商場 Chong Yip Shopping Centre,"(Western) 皇后大道西，近石塘咀市政大廈 Queen's Road West, near Shek Tong Tsui Municipal Services Building","(Western) 皇后大道西，近百好大樓 Queen's Road West, near Pak Hoo Mansion",(Western) 西寶城 The Westwood,(Western) 荷蘭街 Holland Street,"(Western) 卑路乍街34號 Belcher's Street, House No. 34","(Western) 卑路乍街，近聯友新樓 Belcher's Street, near Luen Yau Apartments","(Western) 卑路乍街144-148號 Belcher's Street, House No. 144-148",(Western) 域多利道近加惠民道 Victoria Road near Ka Wai Man Road,(Western) 加惠民道 Ka Wai Man Road,(Western) 域多利道西寧閣對面 Victoria Road Opposite Serene Court,(Western) 明愛賽馬會宿舍 Caritas Jockey Club Hostel,(Western) 摩星嶺徑 Mount Davis Path,(Western) 摩星嶺道與域多利道交界 Junction of Mt. Davis Road and Victoria Road,(Western) 翠海別墅 Cape Mansions,"(Western) 摩星嶺道，近聖嘉勒女書院 Mount Davis Road, near St. Clare's Girls' School","(Western) 摩星嶺道，近怡林閣 Mount Davis Road, near Greenery Garden",(Southern District Northwest) 香港華人基督教聯會薄扶林道墳場 HKCCCU Pok Fu Lam Road Cemetery,"(Southern District Northwest) 瑪麗醫院 J 座 Queen Mary Hopital, Block J","(Southern District Northwest) 薄扶林道，啟明寺 Pok Fu Lam Road, Kai Ming Temple",(Southern District Northwest) 摩星嶺道，怡林閣對面 Mt. Davis Road Opposite Greenery Garden,"(Southern District Northwest) 摩星嶺道，近聖嘉勒女書院 Mount Davis Road, near St. Clare's Girls' School",,,,,,,,,,,,,,,,,,,,,
54,CMPattern_CM_GMBBus_54_7725,8.8,18.60354026,Central > Western > Southern District Northwest > Western > Central,TRUE,中環（中環碼頭） Central (Central Ferry Piers),Central,中環（中環碼頭） Central (Central Ferry Piers),Central,中環碼頭 - 瑪麗醫院（經民祥街）（循環綫） Central (Ferry Piers) - Queen Mary Hospital (via Man Cheung Street) (Circular),(Central) 中環（中環碼頭） Central (Central Ferry Piers),"(Central) 干諾道中，近莊士大廈 Connaught Road Central, near Chuang's Tower",(Western) 高樂花園 Connaught Garden,(Western) 皇后大道西414號 No. 414 Queen's Road West,(Western) 創業商場 Chong Yip Shopping Centre,"(Western) 皇后大道西，近石塘咀市政大廈 Queen's Road West, near Shek Tong Tsui Municipal Services Building","(Western) 皇后大道西，近百好大樓 Queen's Road West, near Pak Hoo Mansion",(Western) 西寶城 The Westwood,(Western) 荷蘭街 Holland Street,"(Western) 卑路乍街34號 Belcher's Street, House No. 34","(Western) 卑路乍街，近聯友新樓 Belcher's Street, near Luen Yau Apartments","(Western) 卑路乍街144-148號 Belcher's Street, House No. 144-148",(Western) 域多利道近加惠民道 Victoria Road near Ka Wai Man Road,(Western) 加惠民道 Ka Wai Man Road,(Western) 域多利道西寧閣對面 Victoria Road Opposite Serene Court,(Western) 明愛賽馬會宿舍 Caritas Jockey Club Hostel,(Western) 摩星嶺徑 Mount Davis Path,(Western) 摩星嶺道與域多利道交界 Junction of Mt. Davis Road and Victoria Road,(Western) 翠海別墅 Cape Mansions,"(Western) 摩星嶺道，近聖嘉勒女書院 Mount Davis Road, near St. Clare's Girls' School","(Western) 摩星嶺道，近怡林閣 Mount Davis Road, near Greenery Garden",(Southern District Northwest) 香港華人基督教聯會薄扶林道墳場 HKCCCU Pok Fu Lam Road Cemetery,"(Southern District Northwest) 瑪麗醫院 J 座 Queen Mary Hopital, Block J","(Southern District Northwest) 薄扶林道，啟明寺 Pok Fu Lam Road, Kai Ming Temple",(Southern District Northwest) 摩星嶺道，怡林閣對面 Mt. Davis Road Opposite Greenery Garden,"(Southern District Northwest) 摩星嶺道，近聖嘉勒女書院 Mount Davis Road, near St. Clare's Girls' School",,,,,,,,,,,,,,,,,,,,,
12,CMPattern_CM_GMBBus_12_2_8614,12.3,20.94636396,Sai Kung and Hang Hau > Kwun Tong North > Sai Kung and Hang Hau > Tseung Kwan O North > Sai Kung and Hang Hau > Tseung Kwan O North,FALSE,"福民路小巴總站，經華樓外 Fuk Man Road Public Light Bus Terminus, outside King Wah Building",Sai Kung and Hang Hau,寶琳公共運輸交滙處 Po Lam Station Public Transport Interchange,Tseung Kwan O North,寶林 Po Lam,"(Sai Kung and Hang Hau) 福民路小巴總站，經華樓外 Fuk Man Road Public Light Bus Terminus, outside King Wah Building","(Sai Kung and Hang Hau) 普通道，西貢賽馬會大會堂外 Po Tung Road, Sai Kung Town Hall",(Sai Kung and Hang Hau) 翠塘花園 Lake Side Garden,(Sai Kung and Hang Hau) 菠蘿輋 Po Lo Che,"(Sai Kung and Hang Hau) 北港, 西貢公路 Pak Kong, Hiram's Highway","(Sai Kung and Hang Hau) 西貢公路，白沙灣遊艇會外 Hiram's Highway, outside Hebe Haven Yacht Club",(Sai Kung and Hang Hau) 匡湖居 Marina Cove,"(Sai Kung and Hang Hau) 西貢公路，西貢中心小學外 Hiram's Highway, outside Sai Kung Central Primary School","(Sai Kung and Hang Hau) 響鐘村, 西貢公路 Heung Chung Village, Hiram's Highway",(Sai Kung and Hang Hau) 南圍 Nam Wai,"(Sai Kung and Hang Hau) 大學道，近香港科技大學 University Road, near The Hong Kong University of Science and Technology",(Sai Kung and Hang Hau) 大埔仔坳 Tai Po Tsai Kau,"(Sai Kung and Hang Hau) 清水灣道，松濤苑對面 Clear Water Bay Road, Opposite Las Pinadas","(Sai Kung and Hang Hau) 清水灣道，壁屋懲教署對面 Clear Water Bay Road, Opposite Pik Uk Correctional Institute","(Sai Kung and Hang Hau) 清水灣道，井欄樹 Clear Water Bay Road, Tseng Lan Shue","(Kwun Tong North) 新清水灣道，近香港扶幼會盛德中心學校 New Clear Water Bay Road, near Society of Boy's Centre Shing Tak Centre School","(Kwun Tong North) 利安道，近順利紀律部隊宿舍第六座 Lee On Road, near Shun Lee Disciplined Services Quarters Block 6",(Kwun Tong North) 利恒樓 Lee Hang House,"(Kwun Tong North) 順利邨道，近順利邨利康樓 Shun Lee Tsuen Road, near Lee Hong House, Shun Lee Estate","(Kwun Tong North) 順利邨道，近順安邨安頌樓 Shun Lee Tsuen Road, near On Chung House, Shun On Estate","(Kwun Tong North) 順利邨道，近順安邨安羣樓 Shun Lee Tsuen Road, near On Kwan House, Shun On Estate",(Kwun Tong North) 順天邨天衡樓 Tin Hang House Shun Tin Estate,"(Kwun Tong North) 秀茂坪道基督教聯合醫院對面 Sau Mau Ping Road, Opposite United Christian Hospital","(Kwun Tong North) 秀茂坪道，寧波第二中學外 Sau Mau Ping Road, outside Ning Po No. 2 College","(Kwun Tong North) 秀茂坪道，秀義樓對面 Sau Mau Ping Road, Opposite Sau Yee House","(Kwun Tong North) 秀茂坪道，秀程樓對面 Sau Mau Ping Road, Opposite Sau Ching House",,,,,,,,,,,,,,,,,,,,,
12,CMPattern_CM_GMBBus_12_2_8615,12.3,20.31216189,Tseung Kwan O North > Sai Kung and Hang Hau > Kwun Tong North > Sai Kung and Hang Hau,FALSE,寶琳公共運輸交滙處 Po Lam Station Public Transport Interchange,Tseung Kwan O North,"福民路小巴總站，經華樓外 Fuk Man Road Public Light Bus Terminus, outside King Wah Building",Sai Kung and Hang Hau,西貢 Sai Kung,(Tseung Kwan O North) 寶琳公共運輸交滙處 Po Lam Station Public Transport Interchange,"(Tseung Kwan O North) 寶琳北路，樂善堂劉德小學外 Po Lam Road North, outside Lok Sin Tong Lau Tak Primary School","(Tseung Kwan O North) 寶琳北路，寶琳邨寶仁樓外 Po Lam Road North, outside Po Yan House, Po Lam Estate","(Sai Kung and Hang Hau) 寶琳北路，近景明苑旭景閣 Po Lam Road North, near Yuk King House, King Ming Court","(Sai Kung and Hang Hau) 寶琳北路，康盛花園巴士總站對面 Po Lam Road North, Opposite Hong Sing Garden Bus Terminus","(Sai Kung and Hang Hau) 寶琳路，近馬游塘 Po Lam Road, near Ma Yau Tong","(Kwun Tong North) 寶琳路，寶達邨外 Po Lam Road, outside Po Tat Estate","(Kwun Tong North) 秀茂坪道，秀程樓外 Sau Mau Ping Road, outside Sau Ching House","(Kwun Tong North) 秀茂坪道，近秀茂坪邨基督教聖約教會堅樂小學 Sau Mau Ping Road, near The Mission Covenant Church Holm Glad Primary School, Sau Mau Ping Estate","(Kwun Tong North) 秀茂坪道，秀義樓外 Sau Mau Ping Road, outside Sau Yee House","(Kwun Tong North) 秀茂坪道，寧波第二中學對面 Sau Mau Ping Road, Opposite Ning Po No. 2 College","(Kwun Tong North) 順利邨道，近順安邨安羣樓 Shun Lee Tsuen Road, near On Kwan House, Shun On Estate","(Kwun Tong North) 順利邨道，近順利邨公園順利邨體育館 Shun Lee Tsuen Road, near Shun Lee Tsuen Sports Centre, Shun Lee Tsuen Park","(Kwun Tong North) 新清水灣道，近佐敦谷公園園藝學習中心 New Clear Water Bay Road, near Jordan Valley Park Horticultural Learning Centre",(Kwun Tong North) 德望學校 Good Hope School,"(Sai Kung and Hang Hau) 清水灣道，近萬景台 Clear Water Bay Road, near Man King Terrace","(Sai Kung and Hang Hau) 清水灣道，壁屋懲教所外 Clear Water Bay Road, outside Pik Uk Correctional Institute","(Sai Kung and Hang Hau) 清水灣道，松濤苑外 Clear Water Bay Road, outside Las Pinadas","(Sai Kung and Hang Hau) 大學道，近香港科技大學 University Road, near The Hong Kong University of Science and Technology","(Sai Kung and Hang Hau) 窩美, 新西貢公路 Wo Mei, New Hiram's Highway","(Sai Kung and Hang Hau) 南邊圍, 西貢公路 Nam Pin Wai, Hiram's Highway","(Sai Kung and Hang Hau) 西貢公路，西貢中心小學外 Hiram's Highway, outside Sai Kung Central Primary School","(Sai Kung and Hang Hau) 西貢公路，白沙灣遊艇會對面 Hiram's Highway, Opposite Hebe Haven Yacht Club",(Sai Kung and Hang Hau) 北港 Pak Kong,(Sai Kung and Hang Hau) 菠蘿輋 Po Lo Che,(Sai Kung and Hang Hau) 翠塘花園 Lake Side Garden,,,,,,,,,,,,,,,,,,,,,
403X,CMPattern_CM_GMBBus_403x_7299,12.3,21.3309537,Sha Tin South > Sha Tin West > Tsuen Wan Southeast > Kwai Chung East > Tsuen Wan Southeast > Sha Tin West > Sha Tin South,TRUE,大圍站公共運輸交滙處 Tai Wai Station Public Transport Interchange,Sha Tin South,大圍站公共運輸交滙處 Tai Wai Station Public Transport Interchange,Sha Tin South,大圍站公共運輸交滙處 - 東北葵涌（循環綫） Tai Wai Station Public Transport Interchange - Northeast Kwai Chung (Circular),(Sha Tin South) 大圍站公共運輸交滙處 Tai Wai Station Public Transport Interchange,"(Sha Tin South) 美田路，近海福花園福兆閣 Mei Tin Road, near Fook Siu Court, Holford Gardens","(Sha Tin West) 青沙公路，近沙田公立學校 Tsing Sha Highway, near Sha Tin Public School","(Tsuen Wan Southeast) 和宜合道，嗇色園可風中學外 Wo Yi Hop Road, outside Ho Fung College Sponsored By Sik Sik Yuen",(Kwai Chung East) 梨木樹邨 Lei Muk Shue Estate,"(Kwai Chung East) 和宜合道，北葵涌賽馬會公眾泳池外 Wo Yi Hop Road, outside North Kwai Chung Jockey Club Public Swimming Pool","(Kwai Chung East) 和宜合道，近石蔭梨木道公園 Wo Yi Hop Road, near Shek Yam Lei Muk Road Park","(Kwai Chung East) 梨木道，葵寶大廈對面 Lei Muk Road, Opposite Kwai Po Building","(Kwai Chung East) 梨木道，寧峰苑外 Lei Muk Road, outside Ning Fung Court",(Kwai Chung East) 大白田街 Fb0411 號電燈柱，石蔭邨外 Shek Yam Estate,"(Kwai Chung East) 石排街，安蔭邨盛蔭樓外 Shek Pai Street, outside Shing Yam House, On Yam Estate",(Kwai Chung East) 安蔭邨（安足街）小巴總站 On Yam Estate (On Chuk Street) Minibus Terminus,"(Kwai Chung East) 梨貝街巴士站，石籬邨石俊樓外 Lei Pui Street Bus Terminus, outside Shek Chun House, Shek Lei Estate","(Kwai Chung East) 梨貝街，石籬邨石佳樓外 Lei Pui Street, outside Shek Kai House, Shek Lei Estate",(Kwai Chung East) 石籬邨石佳樓 Shek Kai House Shek Lei Estate,"(Kwai Chung East) 圍乪街，石籬邨石安樓外 Wai Kek Street, outside Shek On House, Shek Lei Estate","(Kwai Chung East) 大隴街，石籬商場外 Tai Loong Street, outside Shek Lei Shopping Centre","(Kwai Chung East) 和宜合道，近打磚坪街 Wo Yi Hop Road, near Tai Chuen Ping Street","(Kwai Chung East) 和宜合道，長榮工業大廈外 Wo Yi Hop Road, outside Cheung Wing Industrial Building",(Kwai Chung East) 和宜合道，123號 No. 123 Wo Yi Hop Road,"(Kwai Chung East) 和宜合道，華寶工業大廈外 Wo Yi Hop Road, outside Grand Industrial Building","(Tsuen Wan Southeast) 和宜合道，北葵涌賽馬會公眾泳池對面 Wo Yi Hop Road, Opposite North Kwai Chung Jockey Club Public Swimming Pool","(Tsuen Wan Southeast) 和宜合道，伍若瑜夫人健康院對面 Wo Yi Hop Road, Opposite Mrs. Wu York Yu Health Centre",(Tsuen Wan Southeast) 和宜合道，梨木樹邨竹樹樓外 Wo Yip Hop Road outside Chuk Shue House of Lei Muk Shue Estate,"(Tsuen Wan Southeast) 和宜合道，近嗇色園主辦可風中學 Wo Yi Hop Road, near Ho Fung College Sponsored By Sik Sik Yuen","(Sha Tin West) 青沙公路，近穗禾學社 Tsing Sha Highway, near Sui Wo Study Centre",,,,,,,,,,,,,,,,,,,,,
44A,CMPattern_GMBBus44A_4019,18.1,28.2337991,Robin’s Nest > Tuen Mun North > Tuen Mun West > Tuen Mun East,FALSE,上水站小巴總站 Sheung Shui Station Public Light Bus Terminus,Robin’s Nest,屯門站公共運輸交滙處 Tuen Mun Station Public Transport Interchange,Tuen Mun East,屯門站 Tuen Mun Station,(Robin’s Nest) 上水站小巴總站 Sheung Shui Station Public Light Bus Terminus,"(Tuen Mun North) 青麟路，兆康苑兆麗閣外 Tsing Lun Road, outside Siu Lai House of Siu Hong Court","(Tuen Mun North) 青麟路，兆康苑兆賢閣外 Tsing Lun Road, outside Siu Yin House of Siu Hong Court",(Tuen Mun North) 屯門醫院 Tuen Mun Hospital,(Tuen Mun North) 寶怡花園 Blossom Garden,"(Tuen Mun North) 鳴琴路，盈豐園外 Ming Kum Road, outside Goodrich Garden",(Tuen Mun North) 田景路，良景巴士總站外 Tin King Road outside Leung King Bus Terminus,(Tuen Mun North) 田景邨田裕樓 Tin Yue House Tin King Estate,"(Tuen Mun West) 鳴琴路，石排站對面 Ming Kum Road, Opposite Shek Pai Stop","(Tuen Mun West) 石排頭路，德雅工業中心對面 Shek Pai Tau Road, Opposite Delya Industrial Centre","(Tuen Mun West) 石排頭路，保良局莊啟程第二小學外 Shek Pai Tau Road, Opposite Po Leung Kuk Vicwood K. T. Chong No. 2 Primary School","(Tuen Mun West) 震寰路，大興政府合署外 Tsun Wen Road, outside Tai Hing Government Offices","(Tuen Mun West) 震寰路，巴士廠對面 Tsun Wen Road, Opposite Bus Depot","(Tuen Mun West) 震寰路，屯門區總部及分區警署外 Tsun Wen Road, outside Tuen Mun District Headquarters & Division Police Station",(Tuen Mun East) 屯門站公共運輸交滙處 Tuen Mun Station Public Transport Interchange,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
803,CMPattern_GMBBus803_5288,8.3,12.75857534,Sha Tin South > Sha Tin East > Sha Tin North,FALSE,"顯田街，近梁文燕紀念中學 Hin Tin Street, near Helen Liang Memorial Secondary School (Shatin)",Sha Tin South,利安邨巴士總站 Lee On Estate Bus Terminus,Sha Tin North,利安 Lee On,"(Sha Tin South) 顯田街，近梁文燕紀念中學 Hin Tin Street, near Helen Liang Memorial Secondary School (Shatin)","(Sha Tin South) 顯徑街，顯徑邨顯慶樓外 Hin Keng Street, outside Hin Hing House, Hin Keng Estate",(Sha Tin South) 嘉徑苑 Ka Keng Court,"(Sha Tin South) 顯徑街，田心救護站外 Hin Keng Street, outside Tin Sum Ambulance Depot",(Sha Tin South) 雲疊花園 Carado Garden,"(Sha Tin South) 田心街，隆亨邨榮心樓對面 Tin Sam Street, Opposite Wing Sam House, Lung Hang Estate",(Sha Tin South) 新翠邨 Sun Chui Estate,"(Sha Tin South) 車公廟路，大圍站外 Che Kung Miu Road, outside Tai Wai Station","(Sha Tin South) 車公廟路，李屋村對面 Che Kung Miu Road, Opposite Lei Uk Tsuen","(Sha Tin South) 車公廟路，車公廟站外 Che Kung Miu Road, outside Che Kung Miu Station","(Sha Tin South) 大涌橋路，曾大屋遊樂場對面 Tai Chung Kiu Road, Opposite Tsang Tai Uk Recreation Ground","(Sha Tin South) 大涌橋路，愉城苑對面 Tai Chung Kiu Road, Opposite Yue Shing Court","(Sha Tin East) 大涌橋路，近河畔花園 Tai Chung Kiu Road, near Garden Rivera","(Sha Tin East) 大涌橋路，富豪花園對面 Tai Chung Kiu Road, Opposite Belair Gardens","(Sha Tin East) 大涌橋路，沙田第一城對面 Tai Chung Kiu Road, Opposite City One Shatin","(Sha Tin East) 大涌橋路，濱景花園外 Tai Chung Kiu Road, outside Ravana Garden","(Sha Tin East) 亞公角街北行綫，沙田醫院對面 A Kung Kok Street Northbound, Opposite Shatin Hospital","(Sha Tin East) 亞公角街，漁民新村對面 A Kung Kok Street, Opposite Fishermen Village","(Sha Tin East) 亞公角街，近富安花園 A Kung Kok Street, near Chevalier Garden",(Sha Tin North) 恒康街恒安邨外的巴士站 Hang Hong Street at The Bus Stop outside Heng On Estate,"(Sha Tin North) 恒康街，曾璧山中學對面 Hang Hong Street, Opposite Tsang Pik Shan Secondary School","(Sha Tin North) 西沙路，頌安邨頌和樓外 Sai Sha Road, outside Chung Wo House, Chung On Estate","(Sha Tin North) 西沙路，馬鞍山廣場外 Sai Sha Road, outside Ma On Shan Plaza","(Sha Tin North) 馬鞍山路，馬鞍山分區警署外 Ma On Shan Road, outside Ma On Shan Division Police Station & Nt South Regional Headquarters","(Sha Tin North) 錦英路，富寶花園外 Kam Ying Road, outside Saddle Ridge Garden",(Sha Tin North) 利安邨巴士總站 Lee On Estate Bus Terminus,,,,,,,,,,,,,,,,,,,,,
803,CMPattern_GMBBus803_6144,8.3,12.5960214,Sha Tin South > Sha Tin East > Sha Tin North,FALSE,"顯田街，近梁文燕紀念中學 Hin Tin Street, near Helen Liang Memorial Secondary School (Shatin)",Sha Tin South,利安邨巴士總站 Lee On Estate Bus Terminus,Sha Tin North,利安（經大老山公路） Lee On (via Tate's Cairn Highway),"(Sha Tin South) 顯田街，近梁文燕紀念中學 Hin Tin Street, near Helen Liang Memorial Secondary School (Shatin)","(Sha Tin South) 顯徑街，顯徑邨顯慶樓外 Hin Keng Street, outside Hin Hing House, Hin Keng Estate",(Sha Tin South) 嘉徑苑 Ka Keng Court,"(Sha Tin South) 顯徑街，田心救護站外 Hin Keng Street, outside Tin Sum Ambulance Depot","(Sha Tin South) 車公廟路，大圍站外 Che Kung Miu Road, outside Tai Wai Station","(Sha Tin South) 車公廟路，李屋村對面 Che Kung Miu Road, Opposite Lei Uk Tsuen","(Sha Tin South) 車公廟路，車公廟站外 Che Kung Miu Road, outside Che Kung Miu Station","(Sha Tin South) 大涌橋路，曾大屋遊樂場對面 Tai Chung Kiu Road, Opposite Tsang Tai Uk Recreation Ground","(Sha Tin South) 大涌橋路，愉城苑對面 Tai Chung Kiu Road, Opposite Yue Shing Court","(Sha Tin East) 大涌橋路，近河畔花園 Tai Chung Kiu Road, near Garden Rivera","(Sha Tin East) 大涌橋路，富豪花園對面 Tai Chung Kiu Road, Opposite Belair Gardens","(Sha Tin East) 大涌橋路，沙田第一城對面 Tai Chung Kiu Road, Opposite City One Shatin","(Sha Tin East) 大涌橋路，濱景花園外 Tai Chung Kiu Road, outside Ravana Garden",(Sha Tin North) 恒康街恒安邨外的巴士站 Hang Hong Street at The Bus Stop outside Heng On Estate,"(Sha Tin North) 恒康街，曾璧山中學對面 Hang Hong Street, Opposite Tsang Pik Shan Secondary School","(Sha Tin North) 西沙路，頌安邨頌和樓外 Sai Sha Road, outside Chung Wo House, Chung On Estate","(Sha Tin North) 西沙路，馬鞍山廣場外 Sai Sha Road, outside Ma On Shan Plaza","(Sha Tin North) 馬鞍山路，馬鞍山分區警署外 Ma On Shan Road, outside Ma On Shan Division Police Station & Nt South Regional Headquarters","(Sha Tin North) 錦英路，富寶花園外 Kam Ying Road, outside Saddle Ridge Garden",(Sha Tin North) 利安邨巴士總站 Lee On Estate Bus Terminus,,,,,,,,,,,,,,,,,,,,,,,,,,,
502,CMPattern_CM_GMBBus_502_6070,13.7,12.71436615,Robin’s Nest > Wu Tip Shan > Tai Po South > Tai Po North,FALSE,清河邨公共運輸交滙處 Ching Ho Estate Public Transport Interchange,Robin’s Nest,大埔那打素醫院 Tai Po Nethersole Hospital,Tai Po North,大埔那打素醫院（經北區醫院） Tai Po Nethersole Hospital (via North District Hospital),(Robin’s Nest) 清河邨公共運輸交滙處 Ching Ho Estate Public Transport Interchange,"(Robin’s Nest) 清曉路，曾梅千禧紀念學校外 Ching Hiu Road, outside Tsang Mui Millennium School",(Robin’s Nest) 北區醫院 North District Hospital,"(Robin’s Nest) 百和路，近上水官立中學 Pak Wo Road, near Sheung Shui Government Secondary School","(Wu Tip Shan) 百和路，欣翠花園外 Pak Wo Road, outside Cheerful Park","(Wu Tip Shan) 百和路，嘉盛苑外 Pak Wo Road, outside Ka Shing Court","(Wu Tip Shan) 百和路，基新中學對面 Pak Wo Road, Opposite Kei San Secondary School","(Wu Tip Shan) 百和路，近粉嶺站 Pak Wo Road, near Fanling Station","(Wu Tip Shan) 華明路，欣暉閣外 Wah Ming Road, outside Yan Fai House","(Wu Tip Shan) 華明路，康明樓外 Wah Ming Road, outside Hong Ming House","(Wu Tip Shan) 華明路，方樹泉小學外 Wah Ming Road, outside Fong Shu Chuen Primary School","(Wu Tip Shan) 和興路，和興村外 Wo Hing Road, outside Wo Hing Tsuen","(Wu Tip Shan) 大窩西支路，何家園 Tai Wo Service Road West, Ho Ka Yuen","(Tai Po South) 大窩西支路，九龍坑 Tai Wo Service Road West, Kau Lung Hang","(Tai Po South) 大窩西支路，南華莆 Tai Wo Service Road West, Nam Wah Po","(Tai Po South) 大窩西支路，大窩 Tai Wo Service Road West, Tai Wo","(Tai Po South) 大窩西支路，泰亨 Tai Wo Service Road West, Tai Hang","(Tai Po South) 大窩西支路，中心圍 Tai Wo Service Road West, Chung Sum Wai","(Tai Po South) 大窩西支路，近圍頭村 Tai Wo Service Road West, near Wai Tau Tsuen",(Tai Po North) 翠怡花園 Greenery Plaza,"(Tai Po North) 大埔太和路，大埔舊墟遊樂場外 Tai Po Tai Wo Road, outside Tai Po Old Market Playground","(Tai Po North) 大埔太和路，大埔中心外 Tai Po Tai Wo Road, outside Tai Po Centre","(Tai Po North) 南運路，大埔中心第十七座外 Nam Wan Road, outside Block 17, Tai Po Centre",(Tai Po North) 聖母聖心小學 Sacred Heart of Mary School,"(Tai Po North) 頌雅路，亨榮樓外 Chung Nga Road, outside Heng Wing House",(Tai Po North) 大埔那打素醫院 Tai Po Nethersole Hospital,,,,,,,,,,,,,,,,,,,,,
502,CMPattern_CM_GMBBus_502_6072,13.7,11.51017722,Robin’s Nest > Wu Tip Shan > Tai Po South > Tai Po North,FALSE,清河邨公共運輸交滙處 Ching Ho Estate Public Transport Interchange,Robin’s Nest,大埔那打素醫院 Tai Po Nethersole Hospital,Tai Po North,大埔那打素醫院 Tai Po Nethersole Hospital,(Robin’s Nest) 清河邨公共運輸交滙處 Ching Ho Estate Public Transport Interchange,"(Wu Tip Shan) 百和路，欣翠花園外 Pak Wo Road, outside Cheerful Park","(Wu Tip Shan) 百和路，嘉盛苑外 Pak Wo Road, outside Ka Shing Court","(Wu Tip Shan) 百和路，基新中學對面 Pak Wo Road, Opposite Kei San Secondary School","(Wu Tip Shan) 百和路，近粉嶺站 Pak Wo Road, near Fanling Station","(Wu Tip Shan) 華明路，欣暉閣外 Wah Ming Road, outside Yan Fai House","(Wu Tip Shan) 華明路，康明樓外 Wah Ming Road, outside Hong Ming House","(Wu Tip Shan) 華明路，方樹泉小學外 Wah Ming Road, outside Fong Shu Chuen Primary School","(Wu Tip Shan) 和興路，和興村外 Wo Hing Road, outside Wo Hing Tsuen","(Wu Tip Shan) 大窩西支路，何家園 Tai Wo Service Road West, Ho Ka Yuen","(Tai Po South) 大窩西支路，九龍坑 Tai Wo Service Road West, Kau Lung Hang","(Tai Po South) 大窩西支路，南華莆 Tai Wo Service Road West, Nam Wah Po","(Tai Po South) 大窩西支路，大窩 Tai Wo Service Road West, Tai Wo","(Tai Po South) 大窩西支路，泰亨 Tai Wo Service Road West, Tai Hang","(Tai Po South) 大窩西支路，中心圍 Tai Wo Service Road West, Chung Sum Wai","(Tai Po South) 大窩西支路，近圍頭村 Tai Wo Service Road West, near Wai Tau Tsuen",(Tai Po North) 翠怡花園 Greenery Plaza,"(Tai Po North) 大埔太和路，大埔舊墟遊樂場外 Tai Po Tai Wo Road, outside Tai Po Old Market Playground","(Tai Po North) 大埔太和路，大埔中心外 Tai Po Tai Wo Road, outside Tai Po Centre","(Tai Po North) 南運路，大埔中心第十七座外 Nam Wan Road, outside Block 17, Tai Po Centre",(Tai Po North) 聖母聖心小學 Sacred Heart of Mary School,"(Tai Po North) 頌雅路，亨榮樓外 Chung Nga Road, outside Heng Wing House",(Tai Po North) 大埔那打素醫院 Tai Po Nethersole Hospital,,,,,,,,,,,,,,,,,,,,,,,,
