Origin Station,Origin Station Number,Origin Latitude,Origin Longitude,Origin Constituency,Origin District,Destination Station,Destination Station Number,Destination Latitude,Destination Longitude,Destination Constituency,Destination District,Total Travel Time (mins),Total Distance (km),Fare (HKD),No. of Stations,Full Route
AsiaWorld-Expo,56,22.321713,113.942717,Islands,Islands,Airport,47,22.316453,113.936495,Islands,Islands,2,1.136603109692529,5.5,2,AsiaWorld-Expo -> Airport
AsiaWorld-Expo,56,22.321713,113.942717,Islands,Islands,Tsing Yi,46,22.358743,114.107738,Tsing Yi,Kwai Tsing,18,23.474351096615006,65.0,3,AsiaWorld-Expo -> Airport -> Tsing Yi
AsiaWorld-Expo,56,22.321713,113.942717,Islands,Islands,Kowloon,45,22.304403,114.161569,Yau Tsim Mong South,Yau Tsim Mong,25,32.32719724392158,100.0,4,AsiaWorld-Expo -> Airport -> Tsing Yi -> Kowloon
AsiaWorld-Expo,56,22.321713,113.942717,Islands,Islands,Hong Kong,44,22.284753,114.158142,Central,Central and Western,28,34.90898876979242,110.0,5,AsiaWorld-Expo -> Airport -> Tsing Yi -> Kowloon -> Hong Kong
AsiaWorld-Expo,56,22.321713,113.942717,Islands,Islands,Sunny Bay,54,22.331886,114.028907,Tsuen Wan Northwest,Tsuen Wan,32,32.29637346964921,65.0,4,AsiaWorld-Expo -> Airport -> Tsing Yi -> Sunny Bay
AsiaWorld-Expo,56,22.321713,113.942717,Islands,Islands,Disneyland Resort,55,22.315103,114.044636,Tsuen Wan Northwest,Tsuen Wan,38,35.36821443267196,65.0,5,AsiaWorld-Expo -> Airport -> Tsing Yi -> Sunny Bay -> Disneyland Resort
AsiaWorld-Expo,56,22.321713,113.942717,Islands,Islands,Lo Wu,76,22.528285,114.113992,Robin’s Nest,North,82,58.96196380195021,65.0,20,AsiaWorld-Expo -> Airport -> Tsing Yi -> Lai King -> Mei Foo -> Lai Chi Kok -> Cheung Sha Wan -> Sham Shui Po -> Prince Edward -> Shek Kip Mei -> Kowloon Tong -> Tai Wai -> Sha Tin -> Fo Tan -> University -> Tai Po Market -> Tai Wo -> Fanling -> Sheung Shui -> Lo Wu
AsiaWorld-Expo,56,22.321713,113.942717,Islands,Islands,Sheung Shui,75,22.501357,114.12805,Robin’s Nest,North,77,58.96196380195021,65.0,19,AsiaWorld-Expo -> Airport -> Tsing Yi -> Lai King -> Mei Foo -> Lai Chi Kok -> Cheung Sha Wan -> Sham Shui Po -> Prince Edward -> Shek Kip Mei -> Kowloon Tong -> Tai Wai -> Sha Tin -> Fo Tan -> University -> Tai Po Market -> Tai Wo -> Fanling -> Sheung Shui
AsiaWorld-Expo,56,22.321713,113.942717,Islands,Islands,Fanling,74,22.49195,114.13883,Wu Tip Shan,North,75,57.47734330225213,65.0,18,AsiaWorld-Expo -> Airport -> Tsing Yi -> Lai King -> Mei Foo -> Lai Chi Kok -> Cheung Sha Wan -> Sham Shui Po -> Prince Edward -> Shek Kip Mei -> Kowloon Tong -> Tai Wai -> Sha Tin -> Fo Tan -> University -> Tai Po Market -> Tai Wo -> Fanling
AsiaWorld-Expo,56,22.321713,113.942717,Islands,Islands,Tai Wo,73,22.451089,114.161591,Tai Po South,Tai Po,71,51.31621164734569,65.0,17,AsiaWorld-Expo -> Airport -> Tsing Yi -> Lai King -> Mei Foo -> Lai Chi Kok -> Cheung Sha Wan -> Sham Shui Po -> Prince Edward -> Shek Kip Mei -> Kowloon Tong -> Tai Wai -> Sha Tin -> Fo Tan -> University -> Tai Po Market -> Tai Wo
