Station Name,Station Number,Latitude,Longitude,Constituency
AsiaWorld-Expo,56,22.321713,113.942717,Islands
Airport,47,22.316453,113.936495,Islands
Tsing Yi,46,22.358743,114.107738,Tsing Yi
Kowloon,45,22.304403,114.161569,Yau Tsim Mong South
Hong Kong,44,22.284753,114.158142,Central
Sunny Bay,54,22.331886,114.028907,Tsuen Wan Northwest
Disneyland Resort,55,22.315103,114.044636,Tsuen Wan Northwest
Lo Wu,76,22.528285,114.113992,Robin’s Nest
Sheung Shui,75,22.501357,114.12805,Robin’s Nest
Fanling,74,22.49195,114.13883,Wu Tip Shan
Tai Wo,73,22.451089,114.161591,Tai Po South
Tai Po Market,72,22.444009,114.170195,Tai Po South
University,71,22.413821,114.209425,Sha Tin West
Fo Tan,69,22.395133,114.198069,Sha Tin West
Sha Tin,68,22.382212,114.187909,Sha Tin West
Tai Wai,67,22.372862,114.177802,Sha Tin South
Kowloon Tong,8,22.336818,114.175469,Sham Shui Po East
Mong Kok East,65,22.322195,114.171885,Yau Tsim Mong North
Hung Hom,64,22.302517,114.181091,Yau Tsim Mong South
Exhibition Centre,94,22.281667,114.175278,Wan Chai
Admiralty,2,22.278752,114.164826,Central
Lok Ma Chau,78,22.515966,114.069736,Yuen Long Rural East
Chai Wan,37,22.264415,114.237278,Chai Wan
Heng Fa Chuen,36,22.276995,114.24011,Chai Wan
Shau Kei Wan,35,22.279516,114.229107,Hong Wan
Sai Wan Ho,34,22.282112,114.222075,Hong Wan
Tai Koo,33,22.285448,114.215949,Hong Wan
Quarry Bay,32,22.289583,114.208235,Tai Pak
North Point,31,22.291469,114.200488,Tai Pak
Fortress Hill,30,22.288411,114.193708,Tai Pak
Tin Hau,29,22.282663,114.191777,Wan Chai
Causeway Bay,28,22.2797,114.183429,Wan Chai
Wan Chai,27,22.277441,114.172207,Wan Chai
Central,1,22.283041,114.158753,Central
Sheung Wan,26,22.286863,114.152831,Central
Sai Ying Pun,81,22.285652,114.142704,Western
HKU,82,22.283665,114.135716,Central
Kennedy Town,83,22.281119,114.128817,Western
Tiu Keng Leng,49,22.304225,114.252389,Tseung Kwan O South
Yau Tong,48,22.29809,114.237063,Kwun Tong Southeast
Lam Tin,38,22.307158,114.233168,Kwun Tong Central
Kwun Tong,15,22.312319,114.22657,Kwun Tong Central
Ngau Tau Kok,14,22.315669,114.218819,Kwun Tong Central
Kowloon Bay,13,22.323267,114.214248,Kwun Tong West
Choi Hung,12,22.334898,114.208546,Wong Tai Sin East
Diamond Hill,11,22.340167,114.200483,Wong Tai Sin East
Wong Tai Sin,10,22.341651,114.192597,Wong Tai Sin East
Lok Fu,9,22.338009,114.187697,Wong Tai Sin West
Shek Kip Mei,7,22.331998,114.169571,Sham Shui Po East
Prince Edward,16,22.324433,114.168334,Yau Tsim Mong North
Mong Kok,6,22.319336,114.169246,Yau Tsim Mong North
Yau Ma Tei,5,22.31282,114.170963,Yau Tsim Mong South
Ho Man Tin,84,22.309521,114.182839,Kowloon City South
Whampoa,85,22.305079,114.189438,Kowloon City South
Wu Kai Sha,103,22.429473,114.243664,Sha Tin North
Ma On Shan,102,22.424894,114.231924,Sha Tin North
Heng On,101,22.418204,114.225857,Sha Tin North
Tai Shui Hang,100,22.408445,114.222614,Sha Tin East
Shek Mun,99,22.387678,114.208653,Sha Tin East
City One,98,22.382877,114.203353,Sha Tin East
Sha Tin Wai,97,22.377073,114.194856,Sha Tin East
Che Kung Temple,96,22.374846,114.186262,Sha Tin South
Hin Keng,90,22.363972,114.170774,Sha Tin South
Kai Tak,91,22.330498,114.199368,Kowloon City North
Sung Wong Toi,92,22.32595,114.191175,Kowloon City North
To Kwa Wan,93,22.317174,114.187573,Kowloon City North
East Tsim Sha Tsui,80,22.296482,114.173505,Yau Tsim Mong South
Austin,111,22.303331,114.16886,Yau Tsim Mong South
Nam Cheong,53,22.326433,114.1537,Sham Shui Po West
Mei Foo,20,22.338436,114.138433,Sham Shui Po West
Tsuen Wan West,114,22.368055,114.10954,Tsuen Wan Northwest
Kam Sheung Road,115,22.434474,114.063342,Yuen Long Rural East
Yuen Long,116,22.446091,114.034873,Yuen Long Town Centre
Long Ping,117,22.447692,114.025324,Yuen Long Town Centre
Tin Shui Wai,118,22.447663,114.004011,Tin Shui Wai South and Ping Ha
Siu Hong,119,22.411857,113.978954,Tuen Mun North
Tuen Mun,120,22.394235,113.97338,Tuen Mun East
Tung Chung,43,22.289523,113.941559,Islands
Lai King,21,22.34819,114.126191,Kwai Chung West
Olympic,41,22.318359,114.159987,Yau Tsim Mong North
Po Lam,52,22.322602,114.257973,Tseung Kwan O North
Hang Hau,51,22.315808,114.264497,Tseung Kwan O North
Tseung Kwan O,50,22.307709,114.26013,Tseung Kwan O South
LOHAS Park,57,22.295251,114.270387,Sai Kung and Hang Hau
Tsuen Wan,25,22.373621,114.117286,Tsuen Wan Northwest
Tai Wo Hau,24,22.370972,114.125488,Tsuen Wan Southeast
Kwai Hing,23,22.363243,114.131078,Kwai Chung West
Kwai Fong,22,22.356754,114.127468,Kwai Chung East
Lai Chi Kok,19,22.337225,114.148362,Sham Shui Po West
Cheung Sha Wan,18,22.335707,114.15709,Sham Shui Po West
Sham Shui Po,17,22.330735,114.162315,Sham Shui Po East
Jordan,4,22.304651,114.171633,Yau Tsim Mong South
Tsim Sha Tsui,3,22.297048,114.173688,Yau Tsim Mong South
Ocean Park,86,22.248669,114.174556,Southern District Southeast
Wong Chuk Hang,87,22.248018,114.167896,Southern District Southeast
Lei Tung,88,22.241898,114.156172,Southern District Southeast
South Horizons,89,22.24275,114.148912,Southern District Southeast
