Origin Station,Origin X_coord,Origin Y_coord,Destination Station,Destination X_coord,Destination Y_coord,Distance (km)
AsiaWorld-Expo,22.321997,113.942219,Airport,22.315893,113.936615,1.136603109692529
Airport,22.315893,113.936615,AsiaWorld-Expo,22.321997,113.942219,1.136603109692529
Airport,22.315893,113.936615,Tsing Yi,22.358341,114.107421,22.337747986922476
Tsing Yi,22.358341,114.107421,Airport,22.315893,113.936615,22.337747986922476
Tsing Yi,22.358341,114.107421,Kowloon,22.304912,114.161649,8.852846147306575
Kowloon,22.304912,114.161649,Tsing Yi,22.358341,114.107421,8.852846147306575
Kowloon,22.304912,114.161649,Hong Kong,22.285016,114.158366,2.581828122425334
Hong Kong,22.285016,114.158366,Kowloon,22.304912,114.161649,2.581828122425334
Sunny Bay,22.331688,114.029022,Disneyland Resort,22.315538,114.045,3.071840963022748
Disneyland Resort,22.315538,114.045,Sunny Bay,22.331688,114.029022,3.071840963022748
Admiralty,22.278533,114.16621,Exhibition Centre,22.281623,114.176349,1.1580429426822023
Exhibition Centre,22.281623,114.176349,Admiralty,22.278533,114.16621,1.1580429426822023
Exhibition Centre,22.281623,114.176349,Hung Hom,22.302676,114.182201,3.014175139203221
Hung Hom,22.302676,114.182201,Exhibition Centre,22.281623,114.176349,3.014175139203221
Hung Hom,22.302676,114.182201,Mong Kok East,22.321714,114.172565,2.4113100770394573
Mong Kok East,22.321714,114.172565,Hung Hom,22.302676,114.182201,2.4113100770394573
Mong Kok East,22.321714,114.172565,Kowloon Tong,22.337004,114.175851,1.798918658563767
Kowloon Tong,22.337004,114.175851,Mong Kok East,22.321714,114.172565,1.798918658563767
Kowloon Tong,22.337004,114.175851,Tai Wai,22.373104,114.178519,4.419717541399694
Tai Wai,22.373104,114.178519,Kowloon Tong,22.337004,114.175851,4.419717541399694
Tai Wai,22.373104,114.178519,Sha Tin,22.382755,114.187615,1.4337243578384495
Sha Tin,22.382755,114.187615,Tai Wai,22.373104,114.178519,1.4337243578384495
Sha Tin,22.382755,114.187615,Fo Tan,22.395403,114.198331,1.792051134026882
Fo Tan,22.395403,114.198331,Sha Tin,22.382755,114.187615,1.792051134026882
Fo Tan,22.395403,114.198331,University,22.413388,114.210033,2.576015331482579
University,22.413388,114.210033,Fo Tan,22.395403,114.198331,2.576015331482579
University,22.413388,114.210033,Tai Po Market,22.444651,114.170681,6.338725617909037
Tai Po Market,22.444651,114.170681,University,22.413388,114.210033,6.338725617909037
Tai Po Market,22.444651,114.170681,Tai Wo,22.450975,114.161215,1.2654671665377344
Tai Wo,22.450975,114.161215,Tai Po Market,22.444651,114.170681,1.2654671665377344
Tai Wo,22.450975,114.161215,Fanling,22.492057,114.138686,6.161131654906442
Fanling,22.492057,114.138686,Tai Wo,22.450975,114.161215,6.161131654906442
Fanling,22.492057,114.138686,Sheung Shui,22.501133,114.128067,1.4846204996980843
Sheung Shui,22.501133,114.128067,Fanling,22.492057,114.138686,1.4846204996980843
Sheung Shui,22.501133,114.128067,Lok Ma Chau,22.51444,114.06568,7.374371559144695
Lok Ma Chau,22.51444,114.06568,Sheung Shui,22.501133,114.128067,7.374371559144695
Admiralty,22.278533,114.16621,Exhibition Centre,22.281623,114.176349,1.1580429426822023
Exhibition Centre,22.281623,114.176349,Admiralty,22.278533,114.16621,1.1580429426822023
Admiralty,22.278533,114.16621,Exhibition Centre,22.281623,114.176349,1.1580429426822023
Exhibition Centre,22.281623,114.176349,Admiralty,22.278533,114.16621,1.1580429426822023
Exhibition Centre,22.281623,114.176349,Hung Hom,22.302676,114.182201,3.014175139203221
Hung Hom,22.302676,114.182201,Exhibition Centre,22.281623,114.176349,3.014175139203221
Kennedy Town,22.281264,114.128442,HKU,22.284106,114.135493,0.8173435028413785
HKU,22.284106,114.135493,Kennedy Town,22.281264,114.128442,0.8173435028413785
HKU,22.284106,114.135493,Sai Ying Pun,22.285545,114.142687,0.8180619726589814
Sai Ying Pun,22.285545,114.142687,HKU,22.284106,114.135493,0.8180619726589814
Sai Ying Pun,22.285545,114.142687,Sheung Wan,22.28658,114.152073,1.0773824187247507
Sheung Wan,22.28658,114.152073,Sai Ying Pun,22.285545,114.142687,1.0773824187247507
Sheung Wan,22.28658,114.152073,Central,22.281824,114.157863,0.8210345848654096
Central,22.281824,114.157863,Sheung Wan,22.28658,114.152073,0.8210345848654096
Central,22.281824,114.157863,Admiralty,22.27923,114.164838,0.7974796957657277
Admiralty,22.27923,114.164838,Central,22.281824,114.157863,0.7974796957657277
Admiralty,22.27923,114.164838,Wan Chai,22.277556,114.172964,0.8775834577369999
Wan Chai,22.277556,114.172964,Admiralty,22.27923,114.164838,0.8775834577369999
Wan Chai,22.277556,114.172964,Causeway Bay,22.280102,114.184015,1.1821992018019556
Causeway Bay,22.280102,114.184015,Wan Chai,22.277556,114.172964,1.1821992018019556
Causeway Bay,22.280102,114.184015,Tin Hau,22.282194,114.192031,0.881303410524434
Tin Hau,22.282194,114.192031,Causeway Bay,22.280102,114.184015,0.881303410524434
Tin Hau,22.282194,114.192031,Fortress Hill,22.287597,114.193205,0.6217236188698454
Fortress Hill,22.287597,114.193205,Tin Hau,22.282194,114.192031,0.6217236188698454
Fortress Hill,22.287597,114.193205,North Point,22.291201,114.200764,0.9216865393334374
North Point,22.291201,114.200764,Fortress Hill,22.287597,114.193205,0.9216865393334374
North Point,22.291201,114.200764,Quarry Bay,22.288236,114.209037,1.001598596175049
Quarry Bay,22.288236,114.209037,North Point,22.291201,114.200764,1.001598596175049
Quarry Bay,22.288236,114.209037,Tai Koo,22.284609,114.216343,0.9372741300025746
Tai Koo,22.284609,114.216343,Quarry Bay,22.288236,114.209037,0.9372741300025746
Tai Koo,22.284609,114.216343,Sai Wan Ho,22.281626,114.222281,0.7535250151688853
Sai Wan Ho,22.281626,114.222281,Tai Koo,22.284609,114.216343,0.7535250151688853
Sai Wan Ho,22.281626,114.222281,Shau Kei Wan,22.279163,114.22867,0.7228025102833412
Shau Kei Wan,22.279163,114.22867,Sai Wan Ho,22.281626,114.222281,0.7228025102833412
Shau Kei Wan,22.279163,114.22867,Heng Fa Chuen,22.276665,114.239787,1.3045147854936985
Heng Fa Chuen,22.276665,114.239787,Shau Kei Wan,22.279163,114.22867,1.3045147854936985
Heng Fa Chuen,22.276665,114.239787,Chai Wan,22.264546,114.237176,1.484158997674604
Chai Wan,22.264546,114.237176,Heng Fa Chuen,22.276665,114.239787,1.484158997674604
Whampoa,22.304999,114.189492,Ho Man Tin,22.309408,114.18249,0.8714353747459221
Ho Man Tin,22.309408,114.18249,Whampoa,22.304999,114.189492,0.8714353747459221
Ho Man Tin,22.309408,114.18249,Yau Ma Tei,22.313069,114.170748,1.822263445633278
Yau Ma Tei,22.313069,114.170748,Ho Man Tin,22.309408,114.18249,1.822263445633278
