Origin Station,Origin District,Destination Station,Destination District,Route Travel Time (mins),Fare (HKD),Full Route
AsiaWorld-Expo,Islands,Airport,Islands,2,5.5,AsiaWorld-Expo -> Airport
AsiaWorld-Expo,Islands,Tsing Yi,Kwai Tsing,18,65.0,AsiaWorld-Expo -> Airport -> Tsing Yi
AsiaWorld-Expo,Islands,Kowloon,Yau Tsim Mong,25,100.0,AsiaWorld-Expo -> Airport -> Tsing Yi -> Kowloon
AsiaWorld-Expo,Islands,Hong Kong,Central and Western,28,110.0,AsiaWorld-Expo -> Airport -> Tsing Yi -> Kowloon -> Hong Kong
AsiaWorld-Expo,Islands,Sunny Bay,Tsuen Wan,32,65.0,AsiaWorld-Expo -> Airport -> Tsing Yi -> Sunny Bay
AsiaWorld-Expo,Islands,Disneyland Resort,Tsuen Wan,38,65.0,AsiaWorld-Expo -> Airport -> Tsing Yi -> Sunny Bay -> Disneyland Resort
AsiaWorld-Expo,Islands,Lo Wu,North,82,65.0,AsiaWorld-Expo -> Airport -> Tsing Yi -> Lai King -> Mei Foo -> Lai Chi Kok -> Cheung Sha Wan -> Sham Shui Po -> Prince Edward -> Shek Kip Mei -> Kowloon Tong -> Tai Wai -> Sha Tin -> Fo Tan -> University -> Tai Po Market -> Tai Wo -> Fanling -> Sheung Shui -> Lo Wu
AsiaWorld-Expo,Islands,Sheung Shui,North,77,65.0,AsiaWorld-Expo -> Airport -> Tsing Yi -> Lai King -> Mei Foo -> Lai Chi Kok -> Cheung Sha Wan -> Sham Shui Po -> Prince Edward -> Shek Kip Mei -> Kowloon Tong -> Tai Wai -> Sha Tin -> Fo Tan -> University -> Tai Po Market -> Tai Wo -> Fanling -> Sheung Shui
AsiaWorld-Expo,Islands,Fanling,North,75,65.0,AsiaWorld-Expo -> Airport -> Tsing Yi -> Lai King -> Mei Foo -> Lai Chi Kok -> Cheung Sha Wan -> Sham Shui Po -> Prince Edward -> Shek Kip Mei -> Kowloon Tong -> Tai Wai -> Sha Tin -> Fo Tan -> University -> Tai Po Market -> Tai Wo -> Fanling
AsiaWorld-Expo,Islands,Tai Wo,Tai Po,71,65.0,AsiaWorld-Expo -> Airport -> Tsing Yi -> Lai King -> Mei Foo -> Lai Chi Kok -> Cheung Sha Wan -> Sham Shui Po -> Prince Edward -> Shek Kip Mei -> Kowloon Tong -> Tai Wai -> Sha Tin -> Fo Tan -> University -> Tai Po Market -> Tai Wo
