STOP_ID,STOP_TYPE,X,Y,LAST_UPDATE_DATE,STOP_CODE
2,1,843622,813951,"02/02/24 00:00:00",
3,1,843333,814109,"03/04/23 00:00:00",
4,1,842947,814013,"03/04/23 00:00:00",
5,1,842646,813814,"03/04/23 00:00:00",
6,1,842419,813736,"03/04/23 00:00:00",
7,1,842246,813653,"03/04/23 00:00:00",
8,1,842182,813741,"03/04/23 00:00:00",
9,1,842149,813996,"03/04/23 00:00:00",
10,1,842092,814350,"03/04/23 00:00:00",
11,1,842111,814519,"03/04/23 00:00:00",
12,1,842016,814846,"03/04/23 00:00:00",
13,1,841835,815086,"03/04/23 00:00:00",
15,1,836740,815798,"03/04/23 00:00:00",
16,1,836554,815722,"03/04/23 00:00:00",
17,1,831457,840927,"03/04/23 00:00:00",
18,1,836068,815612,"03/04/23 00:00:00",
19,1,835644,815588,"03/04/23 00:00:00",
20,1,831231,841090,"03/04/23 00:00:00",
21,1,834543,815898,"03/04/23 00:00:00",
22,1,834350,815826,"03/04/23 00:00:00",
23,1,834272,816048,"03/04/23 00:00:00",
24,1,834053,816219,"03/04/23 00:00:00",
26,1,834105,816179,"03/04/23 00:00:00",
27,1,834210,816042,"03/04/23 00:00:00",
28,1,834453,815978,"03/04/23 00:00:00",
30,1,835508,815645,"03/04/23 00:00:00",
31,1,835876,815624,"03/04/23 00:00:00",
32,1,836178,815914,"05/15/23 00:00:00",
33,1,841864,815086,"03/04/23 00:00:00",
35,1,842077,814745,"03/04/23 00:00:00",
36,1,842120,814412,"03/04/23 00:00:00",
40,1,842454,813774,"03/04/23 00:00:00",
42,1,842822,813944,"03/04/23 00:00:00",
43,1,842938,814035,"03/04/23 00:00:00",
46,1,843941,813766,"03/04/23 00:00:00",
48,1,842527,814357,"03/04/23 00:00:00",
49,1,838171,816605,"03/04/23 00:00:00",
50,1,838176,816468,"03/04/23 00:00:00",
51,1,838202,816314,"03/04/23 00:00:00",
53,1,838257,816249,"03/04/23 00:00:00",
54,1,838344,816464,"03/04/23 00:00:00",
55,1,838534,816486,"03/04/23 00:00:00",
56,1,838719,816423,"03/04/23 00:00:00",
57,1,838533,816074,"03/04/23 00:00:00",
58,1,838899,816952,"03/04/23 00:00:00",
59,1,838593,816885,"03/04/23 00:00:00",
60,1,838426,816849,"03/04/23 00:00:00",
61,1,838144,816768,"03/04/23 00:00:00",
62,1,837997,816589,"03/04/23 00:00:00",
63,1,837926,816216,"03/04/23 00:00:00",
64,1,837519,815698,"03/04/23 00:00:00",
66,1,836954,815055,"03/04/23 00:00:00",
67,1,837084,814626,"03/04/23 00:00:00",
