DISTRICT,NEXT DISTRICT,mean_relative_deviation,n_samples,y_true_mean
Central,Tuen Mun East,0.1452103957114311,234,27.08589743589744
Islands,Sha Tin East,0.2395689902596892,27,22.42962962962963
Islands,Sha Tin South,0.2375864014935543,37,21.775675675675675
Islands,Sha Tin West,0.2026479586390136,60,21.37333333333333
Islands,Southern District Northwest,0.2180456839245675,1103,30.491477787851316
Islands,Yau Tsim Mong South,0.3582408209363519,75,21.83333333333333
Islands,Tin Shui Wai South and Ping Ha,0.2276329308156214,121,20.2198347107438
Kowloon City North,Wu Tip Shan,0.1338928770954004,27,22.696296296296296
Kowloon City South,Southern District Southeast,0.1805013752855858,16,17.3625
Kwai Chung East,Islands,0.233345213998301,38,18.78421052631579
Kwai Chung West,Central,0.1479564162171477,28,22.12142857142857
Kwai Chung West,Islands,0.2893217604693842,70,17.11857142857143
Kwun Tong Central,Sham Shui Po East,0.3333161461828494,68,15.163235294117646
Kwun Tong North,Central,0.1781020093169554,28,15.025
Kwun Tong North,Wan Chai,0.1647203630031267,37,14.640540540540542
Wu Tip Shan,Islands,0.4658125764090203,9,20.37777777777778
Wu Tip Shan,Yuen Long Rural East,0.2022643907625642,54,16.883333333333333
Sha Tin East,Islands,0.1600698675130537,25,24.344
Sha Tin East,Tsuen Wan Northwest,0.2406965413338632,9,21.844444444444445
Sha Tin South,Islands,0.1874219915016953,41,19.178048780487803
Sha Tin South,Tsuen Wan Northwest,0.2360978472277604,14,19.085714285714285
Sha Tin West,Islands,0.1655302999228918,41,20.092682926829266
Sha Tin West,Southern District Northwest,0.1910418713212684,7,25.25714285714286
Sham Shui Po East,Islands,0.2000330771622272,124,19.21935483870968
Sham Shui Po West,Islands,0.2484590733185905,80,17.945
Southern District Northwest,Kwun Tong Southeast,0.1355038267731759,2906,24.806090846524437
Southern District Northwest,Sha Tin West,0.1356083809139569,10,22.880000000000003
Southern District Southeast,Sha Tin South,0.1612571893506534,26,25.1
Tai Po North,Tsing Yi,0.1700313587992849,1988,23.045774647887324
Tai Po North,Sai Kung and Hang Hau,0.5778112648700888,167,19.449101796407184
Tai Po North,Tsuen Wan Northwest,0.351534209111578,9,22.966666666666665
Tai Po South,Islands,0.3775007230235958,8,20.4
Tai Po South,Tsuen Wan Northwest,0.3402315698938276,8,19.1875
Tsuen Wan Northwest,Central,0.1460191896516556,60,24.745
Tsuen Wan Northwest,Kwun Tong North,0.2010039306131334,21,22.01904761904762
Tsuen Wan Northwest,Wu Tip Shan,0.1345790335911352,6,29.899999999999995
Tsuen Wan Northwest,Sha Tin North,0.2075165502008512,16,20.0
Tsuen Wan Northwest,Tai Po North,0.1820994224892516,14,24.385714285714283
Tsuen Wan Northwest,Tai Po South,0.2392236099176844,11,24.41818181818182
Tsuen Wan Northwest,Wan Chai,0.1834232280124032,45,28.917777777777776
Tuen Mun East,Central,0.1449581349512174,167,27.25449101796407
Tuen Mun East,Islands,0.2419672716431247,79,18.07974683544304
Tuen Mun East,Wan Chai,0.1441579410036932,209,26.79952153110048
Tuen Mun East,Wong Tai Sin East,0.1365289584464094,55,18.26909090909091
Tuen Mun East,Yau Tsim Mong South,0.3043444305626467,157,18.561146496815287
Tuen Mun North,Central,0.320735894480495,51,22.692156862745097
Tuen Mun North,Kwun Tong Central,0.3261498236045522,46,17.65434782608696
Tuen Mun North,Kwun Tong North,0.1549417229073823,1453,24.334273916035787
Tuen Mun North,Kwun Tong West,0.3091886518640612,32,17.3875
Tuen Mun North,Southern District Northwest,0.1436549347166567,56,23.010714285714283
Tuen Mun North,Wan Chai,0.3460381493568893,54,21.164814814814815
Tuen Mun North,Wong Tai Sin East,0.4620318212134103,31,16.66774193548387
Tuen Mun North,Yau Tsim Mong South,1.2151661806816951,44,18.472727272727276
Tuen Mun West,Kowloon City North,0.2215624387990568,744,21.449193548387097
Tuen Mun West,Tsing Yi,0.1948929708616081,267,18.276404494382025
Tuen Mun West,Kwun Tong Central,0.2743594356492846,26,18.515384615384612
Tuen Mun West,Kwun Tong North,0.1968364288528984,1121,23.869937555753797
Tuen Mun West,Kwun Tong West,0.1418470370010254,29,19.155172413793103
Tuen Mun West,Sai Kung and Hang Hau,0.1555418437456517,507,25.32445759368836
Tuen Mun West,Sha Tin East,0.1892934238257097,339,22.732743362831854
Tuen Mun West,Sha Tin South,0.2002160510791399,276,22.093840579710147
Tuen Mun West,Tuen Mun East,0.4458214897320777,250,17.6412
Tuen Mun West,Wong Tai Sin West,0.1993912073576685,780,21.76589743589744
Tuen Mun West,Yau Tsim Mong South,0.5137027416514109,30,19.523333333333333
Tuen Mun West,Tin Shui Wai South and Ping Ha,0.1977085411606719,14,25.25714285714286
Wan Chai,Tsuen Wan Northwest,0.1761801563174523,49,28.13877551020408
Wan Chai,Tuen Mun East,0.149488039552664,190,27.437894736842104
Wong Tai Sin East,Tsuen Wan Northwest,0.1703466366452265,16,19.23125
Yau Tsim Mong North,Islands,0.1955069065284684,72,22.525
Yau Tsim Mong South,Islands,0.1697455861386888,92,21.925
Yau Tsim Mong South,Tuen Mun North,0.172797874874298,55,21.081818181818186
Tin Shui Wai South and Ping Ha,Islands,0.2123682283641785,164,18.796341463414635
