COMBINATION,MEAN_NO_STOPS,MEAN_DISTANCE,COUNT,STOP_COUNT,STOP_COUNT_UNIQUE,AREA,DENSITY,DENSITY_UNIQUE,DENSITY*10000,DENSITY_UNIQUE*100000,LIVING POPULATION,WORKING POPULATION,BUILDING NUMBER,ESTIMATED EMPLOYED POPULATION,MEDIAN MONTHLY INCOME,NEXT STOP_COUNT,NEXT STOP_COUNT_UNIQUE,NEXT AREA,NEXT DENSITY,NEXT DENSITY_UNIQUE,NEXT DENSITY*10000,NEXT DENSITY_UNIQUE*100000,NEXT LIVING POPULATION,NEXT WORKING POPULATION,NEXT BUILDING NUMBER,NEXT ESTIMATED EMPLOYED POPULATION,NEXT MEDIAN MONTHLY INCOME,MEAN_PRICE
Central -> Central,12.180993193849256,5.068393322122259,3967,3406.0,432.0,8299264.499,0.000410398,5.20528e-05,4.10397813,5.205280541,110720.0,55452.0,6706.0,110720.0,42600.0,3406.0,432.0,8299264.499,0.000410398,5.20528e-05,4.10397813,5.205280541,110720.0,55452.0,6706.0,110720.0,42600.0,9.20524325686917
Central -> Chai Wan,19.054607508532424,13.015585127774745,293,3406.0,432.0,8299264.499,0.000410398,5.20528e-05,4.10397813,5.205280541,110720.0,55452.0,6706.0,110720.0,42600.0,1483.0,185.0,9201905.88,0.000161162,2.01045e-05,1.611622657,2.010453078,168675.0,84793.0,1280.0,168675.0,33800.0,10.35494880546075
Central -> Hong Wan,16.134959349593498,10.827873221487806,615,3406.0,432.0,8299264.499,0.000410398,5.20528e-05,4.10397813,5.205280541,110720.0,55452.0,6706.0,110720.0,42600.0,1508.0,147.0,5131674.172,0.000293861,2.86456e-05,2.938612136,2.864562228,187331.0,78902.0,1332.0,187331.0,33800.0,8.652357723577236
Central -> Islands,11.214285714285714,35.47999523313865,238,3406.0,432.0,8299264.499,0.000410398,5.20528e-05,4.10397813,5.205280541,110720.0,55452.0,6706.0,110720.0,42600.0,4309.0,252.0,182280000.0,2.36395e-05,1.38249e-06,0.236394558,0.138248848,185282.0,93368.0,20858.0,185282.0,31500.0,22.268067226890757
Central -> Kowloon City North,15.953900709219859,10.49346804222695,282,3406.0,432.0,8299264.499,0.000410398,5.20528e-05,4.10397813,5.205280541,110720.0,55452.0,6706.0,110720.0,42600.0,2184.0,369.0,6927610.313,0.00031526,5.32651e-05,3.15260227,5.326512077,200330.0,107366.0,3726.0,200330.0,30700.0,15.848936170212765
Central -> Kowloon City South,13.358288770053475,9.246129193347594,187,3406.0,432.0,8299264.499,0.000410398,5.20528e-05,4.10397813,5.205280541,110720.0,55452.0,6706.0,110720.0,42600.0,1256.0,245.0,3082389.687,0.000407476,7.94838e-05,4.074760584,7.948378527,210304.0,96598.0,2009.0,210304.0,30700.0,15.405347593582887
Central -> Kwai Chung East,9.87719298245614,14.0178057375731,171,3406.0,432.0,8299264.499,0.000410398,5.20528e-05,4.10397813,5.205280541,110720.0,55452.0,6706.0,110720.0,42600.0,1199.0,144.0,5774688.358,0.00020763,2.49364e-05,2.076302522,2.49364106,161785.0,62396.0,2259.0,161785.0,26000.0,21.385964912280702
Central -> Kwai Chung West,10.41095890410959,13.660422294739726,219,3406.0,432.0,8299264.499,0.000410398,5.20528e-05,4.10397813,5.205280541,110720.0,55452.0,6706.0,110720.0,42600.0,1079.0,187.0,7109884.208,0.000151761,2.63014e-05,1.517605587,2.630141287,154432.0,86916.0,1358.0,154432.0,26000.0,23.361643835616437
Central -> Kwun Tong Central,16.748344370860927,12.793069766741722,151,3406.0,432.0,8299264.499,0.000410398,5.20528e-05,4.10397813,5.205280541,110720.0,55452.0,6706.0,110720.0,42600.0,1827.0,225.0,3044793.15,0.000600041,7.38966e-05,6.000407614,7.389664549,170206.0,106392.0,1421.0,170206.0,24000.0,15.350993377483444
Central -> Kwun Tong North,22.348148148148148,14.703824048577777,135,3406.0,432.0,8299264.499,0.000410398,5.20528e-05,4.10397813,5.205280541,110720.0,55452.0,6706.0,110720.0,42600.0,1022.0,168.0,2334159.008,0.000437845,7.19745e-05,4.378450639,7.197453105,164725.0,58119.0,434.0,164725.0,24000.0,15.228148148148149
