DISTRICT,NEXT DISTRICT,mean_relative_deviation,n_samples,y_true_mean
Tuen Mun North,Yau Tsim Mong South,1.2151661806816951,44,18.472727272727273
Islands,Kwai Chung West,1.1375318462523865,37,13.494594594594595
Tseung Kwan O North,Kwai Chung East,1.1055232332350464,8,7.699999999999999
Sai Kung and Hang Hau,Tsuen Wan Northwest,0.9124312806168469,11,15.918181818181818
Tin Shui Wai South and Ping Ha,Kwun Tong West,0.8433218459890492,33,15.030303030303031
Tseung Kwan O North,Kwai Chung West,0.8100065714025074,25,9.744
Tin Shui Wai South and Ping Ha,Wong Tai Sin East,0.7997722416190456,38,15.271052631578947
Sai Kung and Hang Hau,Kwai Chung East,0.7433421702046334,21,15.347619047619048
Yuen Long Town Centre,Kwun Tong Central,0.7349866027426103,31,16.506451612903227
Tuen Mun North,Tuen Mun East,0.7155970722143626,241,16.506639004149378
Tseung Kwan O South,Tseung Kwan O North,0.7098611030564174,69,11.881159420289856
Yuen Long Town Centre,Wong Tai Sin East,0.6857739958068542,19,16.74736842105263
Tin Shui Wai South and Ping Ha,Yuen Long Rural East,0.6840383815855126,122,13.62295081967213
Yuen Long Rural East,Tuen Mun East,0.6375227224976698,22,18.90909090909091
Tin Shui Wai South and Ping Ha,Kwun Tong Central,0.6341455299869349,48,16.960416666666667
Kowloon City South,Yau Tsim Mong North,0.6259594777864147,95,13.801052631578946
Tseung Kwan O South,Kwun Tong North,0.6259062176873144,53,13.013207547169813
Tseung Kwan O North,Kwun Tong North,0.6247831817495128,112,11.763392857142858
Sha Tin North,Sha Tin North,0.6214735000101703,158,11.737974683544303
Tin Shui Wai South and Ping Ha,Sha Tin West,0.6175102898931861,28,9.014285714285714
Tuen Mun North,Tuen Mun North,0.6032231462761702,158,11.793037974683545
Tin Shui Wai South and Ping Ha,Yau Tsim Mong South,0.5965367512673994,72,13.024999999999999
Tuen Mun East,Tuen Mun East,0.5964889111308389,883,11.865571913929784
Tseung Kwan O North,Tseung Kwan O South,0.5894224712314997,39,15.564102564102564
Tai Po North,Sai Kung and Hang Hau,0.5778112648700888,167,19.449101796407184
Tseung Kwan O South,Kwun Tong Central,0.5698843481100189,40,15.135
Tuen Mun East,Tsuen Wan Northwest,0.5677660375700021,354,15.561299435028248
Wu Tip Shan,Tuen Mun North,0.5645706215060085,13,11.923076923076923
Tin Shui Wai South and Ping Ha,Tuen Mun North,0.5632966992852168,82,14.160975609756099
Yuen Long Town Centre,Sha Tin West,0.5619771924510528,20,12.794999999999998
Tuen Mun North,Yau Tsim Mong North,0.5569387938618664,18,16.45
Islands,Tsing Yi,0.5490082640784982,113,14.8070796460177
Tuen Mun West,Wong Tai Sin East,0.5397348794552895,25,16.06
Tseung Kwan O North,Wong Tai Sin East,0.5382766360143766,38,17.902631578947368
Tin Shui Wai South and Ping Ha,Tin Shui Wai South and Ping Ha,0.5328070881488196,591,12.00439932318105
Tseung Kwan O North,Tsuen Wan Southeast,0.5313055284877074,10,11.879999999999999
Kowloon City South,Sham Shui Po East,0.5288556554512137,91,10.041758241758242
Yuen Long Town Centre,Tin Shui Wai South and Ping Ha,0.5268873433319093,138,11.27536231884058
Yau Tsim Mong North,Yau Tsim Mong North,0.5221353814590073,26,7.834615384615384
Wu Tip Shan,Tuen Mun East,0.5214263015911647,42,13.514285714285714
Sai Kung and Hang Hau,Tsuen Wan Southeast,0.5207349723611864,35,17.282857142857143
Tseung Kwan O South,Wong Tai Sin East,0.5200844543950665,28,18.935714285714287
Wu Tip Shan,Wu Tip Shan,0.5192848390883132,543,10.44401473296501
Sha Tin North,Sha Tin East,0.5139542636334573,362,15.935082872928177
Tuen Mun West,Yau Tsim Mong South,0.5137027416514108,30,19.523333333333333
Kwai Chung West,Tsing Yi,0.5076539182828053,151,12.923178807947021
Tseung Kwan O North,Tseung Kwan O North,0.5070121905112956,96,9.189583333333333
Yuen Long Town Centre,Kwun Tong West,0.504171754291034,9,17.766666666666666
Sha Tin East,Sha Tin East,0.4938568996612074,378,11.030687830687832
Yuen Long Rural East,Tuen Mun North,0.49349267004394287,46,15.221739130434784
Yau Tsim Mong North,Sham Shui Po East,0.49235278872965477,62,11.887096774193548
Chai Wan,Hong Wan,0.4892048007884723,520,11.3375
Yau Tsim Mong South,Yau Tsim Mong North,0.4818496306847519,218,13.583486238532108
Islands,Tsuen Wan Northwest,0.47675215787720154,103,19.00485436893204
Tseung Kwan O South,Tseung Kwan O South,0.47597556863398316,46,11.606521739130434
Southern District Southeast,Southern District Northwest,0.4725552900060223,1010,8.241584158415842
Sha Tin East,Sha Tin South,0.4715192072434146,176,15.355113636363637
Wu Tip Shan,Islands,0.46581257640902024,9,20.37777777777778
Tseung Kwan O North,Sham Shui Po East,0.4642033695188151,25,10.932
Tsing Yi,Tsing Yi,0.4635381093647791,299,10.99933110367893
Tseung Kwan O North,Wong Tai Sin West,0.4634616625453237,13,17.8
