TRANSPORT,ROUTE_ID,COMPANY_CODE,ROUTE_NAMEE,CIRCULAR,ROUTE_SEQ,STOP_SEQ,STOP_ID,STOP_X,STOP_Y,STOP_PICK_DROP,STOP_NAME,DISTRICT,NEXT_STOP_SEQ,NEXT_STOP_ID,NEXT_STOP_X,NEXT_STOP_Y,NEXT_STOP_NAME,NEXT_DISTRICT,DISTANCE,PRICE
BUS,1105,KMB,263,false,1,8,13380,114.1375477,22.38182359,1,SHING MUN TUNNELS BUS INTERCHANGE,Kwai Chung East,9,9599,114.1382663,22.38173346,SHING MUN TUNNELS BUS INTERCHANGE,Kwai Chung East,6.626840051,0.0
BUS,1117,KMB,269D,false,1,20,13380,114.1375477,22.38182359,1,SHING MUN TUNNELS BUS INTERCHANGE,Kwai Chung East,21,9599,114.1382663,22.38173346,SHING MUN TUNNELS BUS INTERCHANGE,Kwai Chung East,0.073814435,0.0
BUS,1117,KMB,269D,false,1,21,9599,114.1382663,22.38173346,2,SHING MUN TUNNELS BUS INTERCHANGE,Kwai Chung East,22,985,114.1881578,22.38216209,SHATIN CENTRAL BUS TERMINUS,Sha Tin West,6.65060348,0.0
BUS,1130,KMB,273C,false,1,15,9598,114.1376449,22.38138112,2,SHING MUN TUNNELS BUS INTERCHANGE,Kwai Chung East,16,9596,114.1355284,22.38043238,HO FUNG COLLEGE,Tsuen Wan Southeast,1.164213125,0.0
BUS,1131,KMB,273P,false,1,9,9598,114.1376449,22.38138112,2,SHING MUN TUNNELS BUS INTERCHANGE,Kwai Chung East,10,9596,114.1355284,22.38043238,HO FUNG COLLEGE,Tsuen Wan Southeast,1.164213125,0.0
BUS,1144,KMB,278P,false,1,14,9598,114.1376449,22.38138112,2,SHING MUN TUNNELS BUS INTERCHANGE,Kwai Chung East,15,9596,114.1355284,22.38043238,HO FUNG COLLEGE,Tsuen Wan Southeast,0.034966971,0.0
BUS,1145,KMB,278X,false,1,13,9598,114.1376449,22.38138112,2,SHING MUN TUNNELS BUS INTERCHANGE,Kwai Chung East,14,9596,114.1355284,22.38043238,HO FUNG COLLEGE,Tsuen Wan Southeast,1.164213125,0.0
BUS,1208,KMB,40X,false,1,17,13379,114.1379557,22.38130895,1,SHING MUN TUNNELS BUS INTERCHANGE,Kwai Chung East,18,9598,114.1376449,22.38138112,SHING MUN TUNNELS BUS INTERCHANGE,Kwai Chung East,1.164213125,0.0
BUS,1208,KMB,40X,false,1,18,9598,114.1376449,22.38138112,2,SHING MUN TUNNELS BUS INTERCHANGE,Kwai Chung East,19,9596,114.1355284,22.38043238,HO FUNG COLLEGE,Tsuen Wan Southeast,0.517479763,0.0
BUS,1222,KMB,43P,false,2,8,9598,114.1376449,22.38138112,2,SHING MUN TUNNELS BUS INTERCHANGE,Kwai Chung East,9,9616,114.1293821,22.37964504,SAM TUNG UK RESITE VILLAGE,Tsuen Wan Southeast,1.03936279,0.0
BUS,1223,KMB,43X,false,1,14,9598,114.1376449,22.38138112,2,SHING MUN TUNNELS BUS INTERCHANGE,Kwai Chung East,15,9616,114.1293821,22.37964504,SAM TUNG UK RESITE VILLAGE,Tsuen Wan Southeast,0.249876238,0.0
BUS,1232,KMB,46X,false,1,8,13379,114.1379557,22.38130895,1,SHING MUN TUNNELS BUS INTERCHANGE,Kwai Chung East,9,9598,114.1376449,22.38138112,SHING MUN TUNNELS BUS INTERCHANGE,Kwai Chung East,1.164213125,0.0
BUS,1232,KMB,46X,false,1,9,9598,114.1376449,22.38138112,2,SHING MUN TUNNELS BUS INTERCHANGE,Kwai Chung East,10,9596,114.1355284,22.38043238,HO FUNG COLLEGE,Tsuen Wan Southeast,0.517479763,0.0
BUS,1232,KMB,46X,false,2,22,13380,114.1375477,22.38182359,1,SHING MUN TUNNELS BUS INTERCHANGE,Kwai Chung East,23,9599,114.1382663,22.38173346,SHING MUN TUNNELS BUS INTERCHANGE,Kwai Chung East,5.103658085,0.0
BUS,1232,KMB,46X,false,2,23,9599,114.1382663,22.38173346,2,SHING MUN TUNNELS BUS INTERCHANGE,Kwai Chung East,24,6063,114.1764763,22.37598561,TAI WAI ROAD,Sha Tin West,0.343669275,0.0
BUS,1233,KMB,47X,false,1,9,9598,114.1376449,22.38138112,2,SHING MUN TUNNELS BUS INTERCHANGE,Kwai Chung East,10,9596,114.1355284,22.38043238,HO FUNG COLLEGE,Tsuen Wan Southeast,1.164213125,0.0
BUS,1233,KMB,47X,false,2,14,9599,114.1382663,22.38173346,2,SHING MUN TUNNELS BUS INTERCHANGE,Kwai Chung East,15,985,114.1881578,22.38216209,SHATIN CENTRAL BUS TERMINUS,Sha Tin West,0.322480576,0.0
BUS,1234,KMB,48X,false,1,6,9598,114.1376449,22.38138112,2,SHING MUN TUNNELS BUS INTERCHANGE,Kwai Chung East,7,9596,114.1355284,22.38043238,HO FUNG COLLEGE,Tsuen Wan Southeast,1.164213125,0.0
