CONSTITUENCY,STOP_COUNT,STOP_COUNT_UNIQUE,AREA,DENSITY,DENSITY_UNIQUE,DENSITY*10000,DENSITY_UNIQUE*100000,living population,working population,working population ratio (),employed population (by 18 districts),building number,building number (by 18 districts),estimated employed population,empolyed population ratio (),median monthly income (18 district)
Central,3406,432,8299264.499,0.000410398,5.20528e-05,4.10397813,5.205280541,110720,55452.0,1.5,312562,6706,8770,239001,8.73,42600
Chai Wan,1483,185,9201905.88,0.000161162,2.01045e-05,1.611622657,2.010453078,168675,84793.0,2.3,187155,1280,4024,59532,2.17,33800
Hong Wan,1508,147,5131674.172,0.000293861,2.86456e-05,2.938612136,2.864562228,187331,78902.0,2.14,187155,1332,4024,61951,2.26,33800
Islands,4309,252,182280000.0,2.36395e-05,1.38249e-06,0.236394558,0.138248848,185282,93368.0,2.53,91950,20858,20858,91950,3.36,31500
Kowloon City North,2184,369,6927610.313,0.00031526,5.32651e-05,3.15260227,5.326512077,200330,107366.0,2.91,218316,3726,5735,141839,5.18,30700
Kowloon City South,1256,245,3082389.687,0.000407476,7.94838e-05,4.074760584,7.948378527,210304,96598.0,2.62,218316,2009,5735,76477,2.79,30700
Kwai Chung East,1199,144,5774688.358,0.00020763,2.49364e-05,2.076302522,2.49364106,161785,62396.0,1.69,161192,2259,5671,64210,2.34,26000
Kwai Chung West,1079,187,7109884.208,0.000151761,2.63014e-05,1.517605587,2.630141287,154432,86916.0,2.35,161192,1358,5671,38600,1.41,26000
Kwun Tong Central,1827,225,3044793.15,0.000600041,7.38966e-05,6.000407614,7.389664549,170206,106392.0,2.88,326448,1421,4462,103963,3.8,24000
Kwun Tong North,1022,168,2334159.008,0.000437845,7.19745e-05,4.378450639,7.197453105,164725,58119.0,1.57,326448,434,4462,31752,1.16,24000
Kwun Tong Southeast,942,117,3181450.074,0.000296091,3.67757e-05,2.96091398,3.677568319,163357,92725.0,2.51,326448,1534,4462,112230,4.1,24000
Kwun Tong West,1513,204,2719597.768,0.000556332,7.50111e-05,5.5633227,7.501109259,174878,55701.0,1.51,326448,1073,4462,78503,2.87,24000
Robin's Nest,1291,216,114630251.8,1.12623e-05,1.88432e-06,0.112622975,0.188431934,159163,52758.0,1.43,49775,36746,51749,35344,1.29,25500
Sai Kung and Hang Hau,1722,307,129680000.0,1.32788e-05,2.36737e-06,0.132788402,0.236736582,157505,75963.0,2.06,69889,22406,23585,66395,2.42,40400
Sha Tin East,1790,208,24843458.54,7.20512e-05,8.37243e-06,0.720511597,0.837242527,169545,70694.25,1.91,140970,3266,14672,31380,1.15,30500
