name,routeId,Fare,NumOfStops,distance,serviceDistricts,isCircular,start,startDistricts,end,endDistricts,detail
54,CMPattern_CM_GMBBus_54_7724,8.8,26,18.82502359,Central > Western > Southern District Northwest > Western > Central,TRUE,中環（中環碼頭） Central (Central Ferry Piers),Central,中環（中環碼頭） Central (Central Ferry Piers),Central,中環碼頭 - 瑪麗醫院（循環綫） Central (Ferry Piers) - Queen Mary Hospital (Circular)
54,CMPattern_CM_GMBBus_54_7725,8.8,26,18.60354026,Central > Western > Southern District Northwest > Western > Central,TRUE,中環（中環碼頭） Central (Central Ferry Piers),Central,中環（中環碼頭） Central (Central Ferry Piers),Central,中環碼頭 - 瑪麗醫院（經民祥街）（循環綫） Central (Ferry Piers) - Queen Mary Hospital (via Man Cheung Street) (Circular)
12,CMPattern_CM_GMBBus_12_2_8614,12.3,26,20.94636396,Sai Kung and Hang Hau > Kwun Tong North > Sai Kung and Hang Hau > Tseung Kwan O North > Sai Kung and Hang Hau > Tseung Kwan O North,FALSE,"福民路小巴總站，經華樓外 Fuk Man Road Public Light Bus Terminus, outside King Wah Building",Sai Kung and Hang Hau,寶琳公共運輸交滙處 Po Lam Station Public Transport Interchange,Tseung Kwan O North,寶林 Po Lam
12,CMPattern_CM_GMBBus_12_2_8615,12.3,26,20.31216189,Tseung Kwan O North > Sai Kung and Hang Hau > Kwun Tong North > Sai Kung and Hang Hau,FALSE,寶琳公共運輸交滙處 Po Lam Station Public Transport Interchange,Tseung Kwan O North,"福民路小巴總站，經華樓外 Fuk Man Road Public Light Bus Terminus, outside King Wah Building",Sai Kung and Hang Hau,西貢 Sai Kung
403X,CMPattern_CM_GMBBus_403x_7299,12.3,26,21.3309537,Sha Tin South > Sha Tin West > Tsuen Wan Southeast > Kwai Chung East > Tsuen Wan Southeast > Sha Tin West > Sha Tin South,TRUE,大圍站公共運輸交滙處 Tai Wai Station Public Transport Interchange,Sha Tin South,大圍站公共運輸交滙處 Tai Wai Station Public Transport Interchange,Sha Tin South,大圍站公共運輸交滙處 - 東北葵涌（循環綫） Tai Wai Station Public Transport Interchange - Northeast Kwai Chung (Circular)
44A,CMPattern_GMBBus44A_4019,18.1,15,28.2337991,Robin’s Nest > Tuen Mun North > Tuen Mun West > Tuen Mun East,FALSE,上水站小巴總站 Sheung Shui Station Public Light Bus Terminus,Robin’s Nest,屯門站公共運輸交滙處 Tuen Mun Station Public Transport Interchange,Tuen Mun East,屯門站 Tuen Mun Station
803,CMPattern_GMBBus803_5288,8.3,26,12.75857534,Sha Tin South > Sha Tin East > Sha Tin North,FALSE,"顯田街，近梁文燕紀念中學 Hin Tin Street, near Helen Liang Memorial Secondary School (Shatin)",Sha Tin South,利安邨巴士總站 Lee On Estate Bus Terminus,Sha Tin North,利安 Lee On
803,CMPattern_GMBBus803_6144,8.3,20,12.5960214,Sha Tin South > Sha Tin East > Sha Tin North,FALSE,"顯田街，近梁文燕紀念中學 Hin Tin Street, near Helen Liang Memorial Secondary School (Shatin)",Sha Tin South,利安邨巴士總站 Lee On Estate Bus Terminus,Sha Tin North,利安（經大老山公路） Lee On (via Tate's Cairn Highway)
502,CMPattern_CM_GMBBus_502_6070,13.7,26,12.71436615,Robin’s Nest > Wu Tip Shan > Tai Po South > Tai Po North,FALSE,清河邨公共運輸交滙處 Ching Ho Estate Public Transport Interchange,Robin’s Nest,大埔那打素醫院 Tai Po Nethersole Hospital,Tai Po North,大埔那打素醫院（經北區醫院） Tai Po Nethersole Hospital (via North District Hospital)
502,CMPattern_CM_GMBBus_502_6072,13.7,23,11.51017722,Robin’s Nest > Wu Tip Shan > Tai Po South > Tai Po North,FALSE,清河邨公共運輸交滙處 Ching Ho Estate Public Transport Interchange,Robin’s Nest,大埔那打素醫院 Tai Po Nethersole Hospital,Tai Po North,大埔那打素醫院 Tai Po Nethersole Hospital
